experiment_ID,experiment_description,botrytis_strain,tissue,culture_media,treatment,plant_material,plant_tissue,time,group_for_averaging,PMID,default
SRR11743936,B05 MEB 30min in 0.524 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,25,33792940,1
SRR11743937,B05 MEB 30min in 0.524 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,25,33792940,1
SRR11743938,B05 MEB 120min in 0.524 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,26,33792940,1
SRR11743939,B05 MEB 120min in 0.524 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,26,33792940,1
SRR11743940,B05 MEB 30min in 104.8 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,27,33792940,1
SRR11743941,B05 MEB 30min in 104.8 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,27,33792940,1
SRR11743942,B05 MEB 120min in 104.8 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,28,33792940,1
SRR11743943,B05 MEB 120min in 104.8 mM E-2-hexenal,B0510,mycelium,MEB,E-2-hexenal,NoPlant,NoPlant,48h,28,33792940,1
b1,B05 PDA interaction with Tatroviride,B0510,mycelium,PDA,Bc confronting Trichoderma,NoPlant,NoPlant,72h,92,34900134,1
b9,B05 PDA interaction with Tatroviride,B0510,mycelium,PDA,Bc confronting Trichoderma,NoPlant,NoPlant,72h,92,34900134,1
b17,B05 PDA interaction with Tatroviride,B0510,mycelium,PDA,Bc confronting Trichoderma,NoPlant,NoPlant,72h,92,34900134,1
SRR6924547,B05 GB5 + apple wax 32h,B0510,mycelium,GB5,GB5 with apple wax,apple wax,NoPlant,32h,51,29790574,1
SRR6924548,B05 GB5 + apple wax 32h,B0510,mycelium,GB5,GB5 with apple wax,apple wax,NoPlant,32h,51,29790574,1
SRR6924549,B05 GB5 + apple wax 32h,B0510,mycelium,GB5,GB5 with apple wax,apple wax,NoPlant,32h,51,29790574,1
SRR9668417,B05 cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,69,31866989,1
SRR9668418,B05 cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,69,31866989,1
SRR9668419,B05 cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,69,31866989,1
SRR9668420,B05 cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,69,31866989,1
SRR9668421,NonPatho-T1 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,70,31866989,1
SRR9668422,NonPatho-T1 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,70,31866989,1
SRR9668423,NonPatho-T1 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,70,31866989,1
SRR9668424,NonPatho-T1 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,70,31866989,1
SRR9668425,NonPatho-T2 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,71,31866989,1
SRR9668426,NonPatho-T2 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,71,31866989,1
SRR9668427,NonPatho-T2 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,71,31866989,1
SRR9668428,NonPatho-T2 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,71,31866989,1
SRR9668429,NonPatho-T3 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,72,31866989,1
SRR9668430,NonPatho-T3 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,72,31866989,1
SRR9668431,NonPatho-T3 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,72,31866989,1
SRR9668432,NonPatho-T3 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,72,31866989,1
SRR9668433,NonPatho-T4 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,73,31866989,1
SRR9668434,NonPatho-T4 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,73,31866989,1
SRR9668435,NonPatho-T4 mut in cucumber liq medium 48h,B0510,mycelium,cucumber liq media,cucumber liquid medium,cucumber extract,NoPlant,48h,73,31866989,1
SRR12647642,B05 PDB (CTR for 10 g/mL SV treatment N=1),B0510,mycelium,PDB,CTR for SV treatment,NoPlant,NoPlant,not specified,90,no_PMID,1
SRR12647639,B05 PDB + 10 g/mL SV sodium valproate,B0510,mycelium,PDB,10 g/mL SV treatment,NoPlant,NoPlant,not specified,89,no_PMID,1
SRR12647640,B05 PDB + 10 g/mL SV sodium valproate,B0510,mycelium,PDB,10 g/mL SV treatment,NoPlant,NoPlant,not specified,89,no_PMID,1
SRR12647641,B05 PDB + 10 g/mL SV sodium valproate,B0510,mycelium,PDB,10 g/mL SV treatment,NoPlant,NoPlant,not specified,89,no_PMID,1
SRR7894626,B05 CTR for fungicide N=1,B0510,mycelium,not specified,CTR of cyprodinil and fenhexamid,NoPlant,NoPlant,not specified,52,no_PMID,0
SRR7894624,B05 + cyprodinil N=1,B0510,mycelium,not specified,cyprodinil,NoPlant,NoPlant,not specified,53,no_PMID,0
SRR7894625,B05 + fenhexamid N=1,B0510,mycelium,not specified,fenhexamid,NoPlant,NoPlant,not specified,54,no_PMID,0
SRR10607600,B05 in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,15,no_PMID,1
SRR10607599,B05 in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,15,no_PMID,1
SRR10607596,B05 in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,15,no_PMID,1
SRR10607595,B05 light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,16,no_PMID,1
SRR10607594,B05 light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,16,no_PMID,1
SRR10607593,B05 light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,16,no_PMID,1
SRR10607590,dBac in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,17,no_PMID,1
SRR10607591,dBac in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,17,no_PMID,1
SRR10607592,dBac in darkness,B0510,mycelium,not specified,darkness,NoPlant,NoPlant,not specified,17,no_PMID,1
SRR10607589,dBac light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,18,no_PMID,1
SRR10607598,dBac light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,18,no_PMID,1
SRR10607597,dBac light treatment,B0510,mycelium,not specified,light,NoPlant,NoPlant,not specified,18,no_PMID,1
SRR3999585,B05 germinated conidia,B0510,conidia (germinated),in vitro,conidia,NoPlant,NoPlant,not specified,39,no_PMID,1
SRR3999586,B05 germinated conidia,B0510,conidia (germinated),in vitro,conidia,NoPlant,NoPlant,not specified,39,no_PMID,1
SRR3999587,B05 germinated conidia,B0510,conidia (germinated),in vitro,conidia,NoPlant,NoPlant,not specified,39,no_PMID,1
SRR7264781,B05 inf At 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,76,29042403,1
SRR7264789,B05 inf At 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,76,29042403,1
SRR7264817,B05 inf At 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,76,29042403,1
SRR7265023,B05 inf At 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,76,29042403,1
SRR7266000,B05 inf At dCOi1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,77,29042403,1
SRR7266020,B05 inf At dCOi1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,77,29042403,1
SRR7266299,B05 inf At dCOi1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,77,29042403,1
SRR7266329,B05 inf At dCOi1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,77,29042403,1
SRR7267016,B05 inf At dNPR1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,78,29042403,1
SRR7267060,B05 inf At dNPR1 72hpi,B0510,mycelium,infection,infection,Arabidopsis,leaves,72h,78,29042403,1
SRR8074958,B05 inf SL leaves 12h,B0510,mycelium,infection,infection,S lycopersicum,leaves,12hpi?,83,no_PMID,1
SRR8074959,B05 inf SL leaves 12h,B0510,mycelium,infection,infection,S lycopersicum,leaves,12hpi?,83,no_PMID,1
SRR8074956,B05 inf SL leaves 12h,B0510,mycelium,infection,infection,S lycopersicum,leaves,12hpi?,83,no_PMID,1
SRR8074957,B05 inf SL leaves 16h,B0510,mycelium,infection,infection,S lycopersicum,leaves,16hpi?,82,no_PMID,1
SRR8074954,B05 inf SL leaves 16h,B0510,mycelium,infection,infection,S lycopersicum,leaves,16hpi?,82,no_PMID,1
SRR8074955,B05 inf SL leaves 16h,B0510,mycelium,infection,infection,S lycopersicum,leaves,16hpi?,82,no_PMID,1
SRR8074952,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves,24hpi?,81,no_PMID,1
SRR8074950,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves,24hpi?,81,no_PMID,1
SRR8074953,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves,24hpi?,81,no_PMID,1
SRR6924534,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,47,29790574,1
SRR6924535,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,47,29790574,1
SRR6924536,B05 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,47,29790574,1
SRR6924541,dBclae1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,49,29790574,1
SRR6924542,dBclae1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,49,29790574,1
SRR6924543,dBclae1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,49,29790574,1
SRR6924544,dBcvel1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,50,29790574,1
SRR6924545,dBcvel1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,50,29790574,1
SRR6924546,dBcvel1 inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,50,29790574,1
SRR6924537,dBcvel1(1) inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,48,29790574,1
SRR6924538,dBcvel1(1) inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,48,29790574,1
SRR6924539,dBcvel1(1) inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,48,29790574,1
SRR6924540,dBcvel1(1) inf SL leaves 24h,B0510,mycelium,infection,infection,S lycopersicum,leaves (detached),24h,48,29790574,1
SRR8191346,B05 inf SL MGfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),24h,84,30881367,1
SRR8191347,B05 inf SL MGfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),24h,84,30881367,1
SRR8191348,B05 inf SL MGfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),24h,84,30881367,1
SRR8191349,B05 inf SL MGfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),24h,84,30881367,1
SRR8191350,B05 inf SL MGfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),24h,84,30881367,1
SRR8191355,B05 inf SL MGfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),72h,86,30881367,1
SRR8191356,B05 inf SL MGfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),72h,86,30881367,1
SRR8191357,B05 inf SL MGfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (MG),72h,86,30881367,1
SRR8191351,B05 inf SL RRfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),24h,85,30881367,1
SRR8191352,B05 inf SL RRfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),24h,85,30881367,1
SRR8191353,B05 inf SL RRfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),24h,85,30881367,1
SRR8191354,B05 inf SL RRfruit 24h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),24h,85,30881367,1
SRR8191358,B05 inf SL RRfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),72h,87,30881367,1
SRR8191359,B05 inf SL RRfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),72h,87,30881367,1
SRR8191360,B05 inf SL RRfruit 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (RR),72h,87,30881367,1
SRR1284047_1,B05 inf SL fruit (ripe) 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (ripe),72h,30,25232357,1
SRR1284048_1,B05 inf SL fruit (ripe) 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (ripe),72h,30,25232357,1
SRR1284049_1,B05 inf SL fruit (ripe) 72h,B0510,mycelium,infection,infection,S lycopersicum,fruit (ripe),72h,30,25232357,1
SRR7430369,B05 inf grapes (artificial noble rot),B0510,mycelium,infection,infection (noble rot),V vinifera,fruit,12d,80,31304217,1
SRR7430370,B05 inf grapes (artificial noble rot),B0510,mycelium,infection,infection (noble rot),V vinifera,fruit,12d,80,31304217,1
SRR7430371,B05 inf grapes (artificial noble rot),B0510,mycelium,infection,infection (noble rot),V vinifera,fruit,12d,80,31304217,1